Publication.title,General.area.of.coverage,canNo,startReel,endReel,startDate,endDate,Title.ID
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22664,2,2,1860 Feb 1,1860 Dec 29,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22664,2,2,1861 Mar 0,1862 Oct 11,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22664,3,6,1863 Jan 0,1870 Jul 16,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22664,6,6,1870 Sep 2,1872 Dec 28,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22691,1,1,1834 Jan 0,1836 Oct 18,013901029
"The Whitehaven Herald, and Cumberland Advertiser",Cumbria,22691,1,1,1845 Jul 1,1845 Dec 27,013901029
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4645,2,2,1847 Jul 1,1848 Dec 27,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,3898,14,14,1849,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4645,3,3,1850 Jan 0,1851 Dec,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4645,4,4,1854,1855,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4645,5,5,1856,1857,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4645,6,6,1858,1859,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4645,7,7,1860,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4645,8,8,1861,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4645,9,9,1862,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4645,10,10,1863,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4645,11,11,1864,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4645,12,12,1865,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4645,13,13,1866,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4645,14,14,1867,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4646,1,1,1868,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4646,2,2,1869,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4646,3,3,1870,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4646,4,4,1871,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4646,5,5,1872,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4646,6,6,1873 Jan,1873 Jul 16,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4646,7,7,1874 Jan 2,1874 Dec,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4646,8,8,1875,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4646,9,9,1876,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4646,10,10,1877,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4646,11,11,1878,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4646,12,12,1879,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4646,13,13,1880,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4646,14,14,1881,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4646,15,15,1882,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4646,16,16,1883,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4646,17,17,1884,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4646,18,18,1885,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4647,1,1,1886,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4647,2,2,1887,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4647,3,3,1888,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4647,4,4,1889,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,4647,5,5,1890,,013908572
"Swansea and Glamorgan Herald, and South Wales Free Press",West Glamorgan,21105,1,1,1852,1853,013908572
"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,8458,15,15,1858 Jul 1,1859 Dec 31,013894026
"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,7276,9,9,1860,,013894026
"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,8459,1,1,1861,1862,013894026
"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,7310,18,18,1863,,013894026
"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,8459,2,2,1864,1866,013894026
"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,8459,3,3,1867,1868,013894026
"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,972,5,5,1869,,013894026
"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,8459,4,4,1870,,013894026
"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,8459,5,5,1871,,013894026
"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,8459,6,6,1872,,013894026
"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,8459,7,7,1873,,013894026
"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,8459,8,8,1874,,013894026
"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,8459,9,9,1875,,013894026
"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,8459,10,10,1876,,013894026
"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,8459,11,11,1877,,013894026
"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,8459,12,12,1878,,013894026
"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,8459,13,13,1879,,013894026
"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,8459,14,14,1880,,013894026
"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,8460,1,1,1881,,013894026
"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,8460,2,2,1882,,013894026
"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,8460,3,3,1883,,013894026
"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,8460,4,4,1884,,013894026
"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,8460,5,5,1885,,013894026
"Stockton Herald, South Durham and Cleveland Advertiser",Cleveland,8460,6,6,1886,,013894026
